Sample me,Location,Latitude,Longitude,Sampling time (Hrs),Temperature,COND,pH ,Turb NTU,CHLA RFU,CDOM RFU,TRPN RFU,TH ppm,TSS mg/L,COD mg/L,BOD mg/L,DO mg/L,NO3 ppm,NO2 ppm,NH4 ppm,Cl ppm,Na ppm,K ppm,Ca ppm,Mg ppm,TC cfu/100ml,FC cfu/100ml
GDVR_NRSP_20171123_St_02,NRSP,16.44388,81.73256,9:25,28.52,1278,7.88,8.4,1169.6,746,57.1,680,16,29,8.6,5.94,4.1,0.01,0.2,2459.6,13.54,0.74,19.2,24.4,12,9
GDVR_NRSP_20171123_St_03,NRSP,16.43497,81.70754,10:05,28.77,7530,8.06,2.5,242.8,478.8,32.4,864,15,22,7.8,6.32,3.6,0.01,0.2,3302.4,18.82,1.25,16.8,34.8,16,8
GDVR_NRSP_20171123_St_04,NRSP,16.42554,81.70109,10:30,29,1871,7.98,1.6,298.1,400.4,29.5,1032,18,21,8.1,6.46,4.2,0.01,0.2,3904.4,35.88,1.48,15.2,44,12,7
GDVR_RJMN_20171125_St_01,RJMN,17.00455,81.76652,15:11,28.97,229,8,5.4,873.2,507.2,41.6,104,4,32,7.1,5.14,3.1,0.01,0.2,34.4,15.47,2.98,4.8,2.8,6,9
GDVR_RJMN_20171125_St_02,RJMN,17.02876,81.76802,15:40,28.72,995,7.09,14.2,1504,1543.2,90.8,56,25,22,8.6,6.54,4.1,0.01,0.2,68.8,26.93,4.84,4.8,0.4,11,8
GDVR_RJMN_20171125_St_03,RJMN,16.99698,81.76489,16:50,28.88,208,7.08,2.8,775.6,415.1,31.5,40,8,21,7.6,6.92,3.2,0.01,0.2,34.4,14.26,2.68,3.2,0.4,12,8
GDVR_RJMN_20171125_St_04,RJMN,16.95437,81.78149,17:50,28.32,227,7.92,3,1360.8,481.7,42.4,40,9,22,8.1,6.57,4.8,0.01,0.2,34.4,15.09,4.96,3.2,0.4,11,9
NGVD_BANL_20171202_st_01,BGLR,13.04588,77.60961,12:20,22.45,452,6.82,8.4,11091,1369,169,56,18,20,7.3,,3.1,0.01,0.2,86,111.47,15.36,4,0.8,16,8
ULSR_BANG_20171203_St_01,BGLR,12.978741,77.61978,9:35,22.72,331,7.02,5.1,15332,1169.2,138.6,56,22,21,7.3,,3.2,0.01,0.2,51.6,29.2,11.35,2.4,1.6,10,8
ULSR_BANG_20171203_St_02,BGLR,12.983174,77.620093,9:50,22.41,328,6.92,5.8,14744,1195.2,136.6,64,12,20,7.8,,2.8,0.01,0.2,68.8,29.89,11.77,3.2,1.6,11,7
ULSR_BANG_20171203_St_03,BGLR,12.98551,77.62022,10:15,22.49,329,7.03,4.7,11860,1209.2,143.6,72,11,18,7.3,,2.3,0.01,0.2,68.8,29.86,11.74,4,1.6,13,9
ULSR_BANG_20171203_Even_St_01,BGLR,12.978741,77.61978,18:05,23.07,317,7.17,5.3,,,,40,8,16,6.8,,4.2,0.01,0.2,51.6,31,12,3.2,0.4,18,7
ULSR_BANG_20171203_Even_St_02,BGLR,12.983174,77.620093,18:20,23.44,332,7.12,5.6,,,,48,12,23,7.4,,2.8,0.01,0.2,86,27.45,10.94,4,0.4,11,8
ULSR_BANG_20171203_Even_St_03,BGLR,12.98551,77.62022,18:35,23.52,330,7.02,3.8,,,,64,13,24,6.4,,2.6,0.01,0.2,86,28.36,11.25,4,1.2,10,6
GDVR_RJMN_20171208_St_01,RJMN,17.00452,81.76652,7:50,25.09,210,8.16,2.3,,,,56,8,28,7.2,6.49,3.1,0.01,0.2,68.8,13.03,2.65,4,0.8,12,9
GDVR_RJMN_20171208_St_02,RJMN,17.02869,81.76802,8:20,24.72,312,7.87,4.5,,,,88,9,22,8.2,6.52,3.5,0.01,0.2,34.4,16.32,2.87,4,2.4,11,7
GDVR_RJMN_20171208_St_03,RJMN,16.99178,81.76732,9:30,25.24,189.4,8.07,1.5,,,,160,7,19,7.1,6.84,2.8,0.01,0.2,51.6,12.32,2.41,0.8,0.4,14,8
GDVR_RJMN_20171208_St_04,RJMN,16.95481,81.78199,10:00,24.91,408,7.01,2.8,,,,120,10,22,7.8,5.82,3.8,0.01,0.2,34.4,28.62,6.43,4,4,12,9
GDVR_NRSP_20171215_st_01,NRSP,16.4471,81.7052,6:40,26.24,8420,7.06,2.3,1383.6,2188,152.3,558,16,240,2.1,2.15,3.6,,0.2,4275,29.3,1.26,18.4,15.6,21,9
GDVR_NRSP_20171215_st_02,NRSP,16.4434,81.73042,7:30,26.68,3330,7.82,3.8,388.4,400,33.8,1674,28,460,2.4,5.31,2.8,,0.2,13950,38.69,1.54,24.8,62,14,8
GDVR_NRSP_20171215_st_03,NRSP,16.43463,81.7075,8:00,26.56,339,7.83,2.1,289.8,405.2,31.1,1548,16,200,1.8,5.81,3.6,,0.2,13725,88.3,3.14,23.2,57.2,17,11
GDVR_NRSP_20171215_st_04,NRSP,16.4248,81.70067,8:30,26.56,328,7.85,2.4,304.8,407.2,30.4,1530,20,220,2,5.88,3.1,,0.2,13275,78.24,2.92,21.6,57.2,11,6
GDVR_NRSP_20180105_st_01,NRSP,16.44675,81.70569,8:00,24.38,3810,7.05,11.8,15916,2615.2,165.2,468,41.3,180,4.6,0.5,3.1,,0.2,3105,19.93,0.9,15.2,13.2,18,9
